subject_session,d_input
MonkeyI_20161206_02,96
MonkeyC_e2_1,95
MonkeyI_20160624_03,96
MonkeyI_20161014_04,96
MonkeyI_20160627_01,96
MonkeyI_20170127_03,96
MonkeyC_e2_2,95
MonkeyI_20170131_02,96
MonkeyI_20161026_03,96
MonkeyI_20161011_03,96
MonkeyI_20161006_02,96
MonkeyC_e3_1,95
MonkeyC_e3_3,95
MonkeyI_20161212_02,96
MonkeyC_e3_4,95
MonkeyC_e3_2,95
MonkeyI_20160916_01,96
MonkeyI_20160930_02,96
MonkeyI_20160921_01,96
MonkeyI_20161207_02,96
MonkeyI_20160930_05,96
MonkeyI_20161005_06,96
MonkeyI_20161024_03,96
MonkeyI_20160927_04,96
MonkeyC_e4_2,95
MonkeyI_20161025_04,96
MonkeyI_20170123_02,96
MonkeyI_20161017_02,96
MonkeyI_20161027_03,96
MonkeyC_e5_1,95
MonkeyC_e4_3,95
MonkeyI_20161220_02,96
MonkeyI_20161007_02,96
MonkeyI_20160927_06,96
